experiment_id,met_id,ms_id,measurement_replicate,labelled_atom_ids,unlabelled_atoms,mass_isotope,intensity,intensity_std_error,time
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,277896.5816,24417.3537,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1857.704706,157.8002904,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,64.812364,64.812364,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,0,0.02,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,0,0.02,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,190.5249415,69.69353179,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,12.7617726,6.796912149,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,108.899086,56.02972167,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,64.33309458,25.57678885,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,28.55224923,18.02372953,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,6.6081066,3.371511904,0
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,245699.7588,18487.90066,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,830.276715,247.1006625,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,1004.251241,325.5771857,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,1057.67391,157.8690631,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,444.6620334,27.245788,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,7629.748311,650.5271139,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,3.988095817,3.988095817,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,18.53507236,18.53507236,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,58.49391477,21.57570553,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,47.25592598,8.878112105,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,23.05289972,2.687637729,15
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,256233.6969,26725.71088,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1116.398663,510.6823907,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,1901.640598,221.6786795,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,2014.945088,262.6079241,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,516.0370742,12.14072709,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,14319.79606,1205.796349,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,0,0.02,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,15.68746969,15.68746969,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,27.99839116,8.918516849,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,27.99382247,13.93544738,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,19.56372204,9.850557004,30
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,234835.41,13123.82438,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,1239.515317,709.6103738,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,2894.157309,143.7751,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,2853.544693,221.6511781,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1011.695996,50.20828285,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,25341.45898,653.3514105,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,0,0.02,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,0,0.02,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,9.581733659,7.896019618,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,5.952258448,3.052891921,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,15.66044343,6.921247284,60
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,163603.7878,15241.51784,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,883.2132071,260.4761232,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,9083.431738,835.4567663,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,8600.929998,498.4055864,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,4716.053871,322.1036076,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,91927.25829,3831.45191,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,151.7567095,48.21678058,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,61.89878469,61.14453869,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,22.76172794,22.76172794,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,23.9156271,11.95804907,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,21.60783195,8.857275432,240
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,91615.5981,2364.047509,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,2348.948238,534.20502,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,17970.19188,375.3950058,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,16484.28373,247.6154237,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,12622.31564,642.519037,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,186946.9586,3217.537585,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,6883.589277,590.0392854,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,1867.532084,124.1801708,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,24.71757154,24.71757154,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,18.83230884,17.67152062,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,8.908218416,3.203379465,720
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,37165.96243,2931.129296,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,2426.395007,176.716662,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,16844.53912,964.841281,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,16053.09228,947.0610391,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,12596.65778,803.9519581,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,203878.1233,9755.368347,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,16957.34522,252.6874286,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,4156.901872,485.2183374,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,262.8986671,134.1469444,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,0,0.02,1440
exp1,ADP,ADP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,6.709718699,4.484591826,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,10583.34139,2548.172343,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,33.13308317,28.14260588,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,123.8888383,20.04766202,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,18.95047273,4.77091025,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1515.88139,168.527887,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,122.4841635,82.11199496,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,188.4653878,48.37361325,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,133.6024847,61.10614373,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,301.6686715,105.8534544,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,95.15201722,31.61449158,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,73.05471954,16.29224786,0
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,11660.44635,2310.108513,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,55.35890628,38.98529901,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,190.9973545,26.32870903,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,52.88408082,19.56192214,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1147.134356,76.55896829,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,606.9604714,162.0311642,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,177.9968657,43.64340397,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,80.47095618,19.74270367,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,67.4324153,17.08740465,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,94.24985145,21.18996827,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,80.03284066,8.837886143,15
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,13678.30369,3445.388832,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,79.62824264,63.92268219,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,376.5044511,76.81982289,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,122.1085833,61.2002332,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1318.473113,85.76766783,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,904.5391153,215.8545613,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,170.5878254,32.9662986,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,62.28422191,31.22601761,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,56.30050268,15.93943007,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,136.3990121,7.948262281,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,64.29976217,32.77071264,30
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,8420.912445,1301.745298,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,140.2853032,81.13851911,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,186.1062618,32.31233538,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,69.14825151,34.02482076,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,980.3094182,60.64580108,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,1059.512082,234.6777424,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,106.9066159,20.31491586,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,71.75759095,22.0916451,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,90.97804114,32.50176478,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,161.6259343,14.14624197,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,68.31487895,10.42453612,60
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,7084.071069,1236.065982,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,293.2716596,59.68148493,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,474.1077988,150.1698147,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,372.1875782,40.33189494,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1033.042641,26.99933741,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,3780.851505,823.6588896,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,93.41577308,20.48931161,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,177.3867117,31.38650376,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,36.69066582,0.549671883,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,544.157422,99.24879117,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,52.3866904,19.13004747,240
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,4897.199923,387.203671,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,253.0006649,104.4655314,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,965.211533,73.83258114,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,890.9476776,101.9922001,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,791.521901,118.6711542,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,8931.973193,1082.494276,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,463.0536672,58.74223197,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,294.7369988,92.84525483,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,44.03584668,24.50403323,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,776.4100634,92.68691842,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,147.8325772,21.94081781,720
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,0,3102.234517,751.2274647,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,1,333.3426658,69.44628049,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,2,1088.209039,237.8581959,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,3,926.9426829,167.7996151,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,4,1095.060178,128.9815973,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,5,11939.92305,1952.726853,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,6,1137.285727,215.7833852,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,7,387.0722082,13.92985936,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,8,95.56230586,8.514551157,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,9,875.2415203,40.24946455,1440
exp1,ATP,ATP,1,"[1,2,3,4,5,6,7,8,9,10]",,10,156.2472227,31.4558724,1440
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,0,7274.338917,424.9154476,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,1,138.9195538,96.63791559,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,2,159.1895046,55.38935864,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,3,20.73307004,19.96823732,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,4,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,5,53.51840499,30.59931141,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,6,2.675160109,2.675160109,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,7,38.69950255,10.22794351,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,8,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,9,18.00842606,10.09936319,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,10,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,11,13.20185664,6.846785667,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,12,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,13,10.16287623,9.78236445,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,14,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,15,9.207737221,3.402912432,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,16,3.861511183,3.861511183,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,17,6.317939477,5.037707803,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,18,0,0.02,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,19,14.33082791,6.391868098,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,20,0.134089363,0.134089363,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,21,15.32694607,8.692074513,0
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,0,4974.334838,834.943758,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,1,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,2,153.1205555,39.77536581,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,3,4.03353717,4.03353717,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,4,4.295971519,3.636044338,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,5,64.24806529,34.73779402,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,6,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,7,36.63603402,7.485883188,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,8,2.676069069,2.676069069,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,9,25.83862723,15.73617973,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,10,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,11,18.33863664,5.406318349,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,12,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,13,18.59450275,6.423897907,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,14,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,15,11.42591166,4.470186606,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,16,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,17,6.838154956,3.919503384,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,18,0.272508423,0.272508423,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,19,36.50555602,5.288942587,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,20,0,0.02,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,21,13.76957896,13.76957896,15
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,0,6730.841326,298.8045278,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,1,88.28702935,38.87368005,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,2,143.531836,65.61562388,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,3,17.72911585,17.72911585,30
exp1,AcCoA,AcCoA,1,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",,4,12.42618157,12.42618157,30
